actual_vo2kgml,speed_actual,grade,I.grade.2.,I.grade.3.,.fitted,.se.fit
26.5,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
29.21,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
28.47,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
29.3,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
25.41,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
24.19,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
30.91,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
24.19,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
28.65,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
31.15,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
27.24,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
35.49,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
48.76,2.05,40,1600,64000,49.20248087370356,0.458830615308951
31.12,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
33.04,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
28.05,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
38.16,2.05,40,1600,64000,49.20248087370356,0.458830615308951
25.78,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
30.63,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
31.87,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
54.1,2.05,40,1600,64000,49.20248087370356,0.458830615308951
21.94,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
29.33,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
28.09,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
51.64,2.05,40,1600,64000,49.20248087370356,0.458830615308951
25.14,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
51.87,2.05,40,1600,64000,49.20248087370356,0.458830615308951
29.38,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
28.07,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
30.33,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
51.24,2.05,40,1600,64000,49.20248087370356,0.458830615308951
48.3,2.05,40,1600,64000,49.20248087370356,0.458830615308951
33.01,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
36.46,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
29.3,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
54.8,2.05,40,1600,64000,49.20248087370356,0.458830615308951
47.03,2.05,40,1600,64000,49.20248087370356,0.458830615308951
