actual_vo2kgml,speed_actual,grade,I.grade.2.,I.grade.3.,.fitted,.se.fit,.resid,.hat,.sigma,.cooksd,.std.resid,speed_groups
26.5,1.2,40,1600,64000,30.163935470129065,0.2572782947594568,-3.6639354701285405,0.007760535997015479,2.9199664634233105,0.002067704762740418,-1.2594539082914895,1
29.21,1.3,40,1600,64000,32.40376434113783,0.26532155726298007,-3.193764341137851,0.008253354432594841,2.9203130147162635,0.001672510761617269,-1.0981083850718296,1
28.47,1.2,40,1600,64000,30.163935470129065,0.25727829475946407,-1.6939354701290075,0.007760535997015917,2.92110256226596,4.419637193719379e-4,-0.582279263824675,1
29.3,1.1,40,1600,64000,27.9241065991203,0.25572624323050985,1.375893400879975,0.007667186332092243,2.9212076478914213,2.88021599843646e-4,0.47293213180103966,1
25.41,0.9,40,1600,64000,23.44444885710277,0.27207551795666585,1.9655511428973673,0.008678893314209662,2.9209952085406106,6.667123667509729e-4,0.6759582644907467,1
24.19,1,40,1600,64000,25.68427772811153,0.2607813266240641,-1.4942777281113322,0.007973305437823508,2.92117101246915,3.5349925319350106e-4,-0.5137032984694189,1
30.91,1,40,1600,64000,25.68427772811153,0.260781326624064,5.225722271888498,0.007973305437823501,2.9184707674328965,0.004323331163913836,1.7965005550522521,1
24.19,1.1,40,1600,64000,27.9241065991203,0.2557262432305099,-3.7341065991202678,0.0076671863320922455,2.9199107162554743,0.002121430979391659,-1.2835144010174173,1
28.65,1.15,40,1600,64000,29.04402103462468,0.2556718921312886,-0.39402103462464777,0.00766392756822222,2.921394634384876,2.3610588845437484e-5,-0.1354355662928455,1
31.15,1.1,40,1600,64000,27.9241065991203,0.2557262432305099,3.2258934008797295,0.0076671863320922455,2.920291463195917,0.0015832719119676045,1.1088276475962568,1
27.24,0.93,40,1600,64000,24.1163975184054,0.2680706539356267,3.1236024815946353,0.008425272730375065,2.920360567868418,0.001633724260652578,1.0740778113712524,1
35.49,1.5,40,1600,64000,36.88342208315537,0.29836879744096734,-1.3934220831553261,0.010437397615716559,2.9212018398049233,4.04394488992766e-4,-0.4796271536176324,1
48.76,2.02,40,1600,64000,48.530532212400935,0.44859843866318555,0.22946778759907788,0.023593965278494153,2.9214055807522414,2.5463473923206448e-5,0.07951502709229365,2
31.12,1.21,40,1600,64000,30.387918357229943,0.2577966986008618,0.7320816427700937,0.007791841745894313,2.9213536666553757,8.288725172243685e-5,0.2516522573136807,1
33.04,1.4,40,1600,64000,34.6435932121466,0.2792957838191033,-1.6035932121465626,0.00914564163882808,2.921134234452951,4.680768050518609e-4,-0.5516098434529867,1
28.05,1,40,1600,64000,25.68427772811153,0.260781326624064,2.3657222718884996,0.007973305437823501,2.9208089278164673,8.860400864965362e-4,0.8132887959641358,1
38.16,1.6,40,1600,64000,39.12325095416412,0.32163479605007805,-0.9632509541640981,0.012128622363259966,2.92131105500605,2.25332448112679e-4,-0.3318424620791762,2
25.78,0.92,40,1600,64000,23.892414631304522,0.26934898213089054,1.887585368695512,0.00850581823728006,2.921027635443273,6.023974609478524e-4,0.6490889675749981,1
30.63,1.1,40,1600,64000,27.9241065991203,0.2557262432305099,2.70589340087973,0.0076671863320922455,2.920623447172426,0.0011139786053578756,0.930089448561902,1
31.87,1.21,40,1600,64000,30.387918357229943,0.2577966986008618,1.482081642770094,0.007791841745894313,2.9211749628735433,3.397136225355074e-4,0.5094639301635805,1
54.1,2,40,1600,64000,48.08256643819918,0.4418381334505285,6.017433561800845,0.022888209059982928,2.9174520558184955,0.016962118061758073,2.0844039487244213,2
21.94,1.1,40,1600,64000,27.9241065991203,0.2557262432305099,-5.984106599120267,0.0076671863320922455,2.917555918276604,0.0054482135962288505,-2.056900839146838,1
29.33,1.1,40,1600,64000,27.9241065991203,0.2557262432305099,1.405893400879729,0.0076671863320922455,2.921198668178244,3.007185840690191e-4,0.4832439509760141,1
28.09,0.98,40,1600,64000,25.236311953909784,0.26256039663589387,2.8536880460902525,0.008082465511448346,2.9205346479304644,0.0013071935229859147,0.9810958135750936,1
51.64,2.06,40,1600,64000,49.42646376080444,0.4622647174174524,2.2135362391955815,0.025053413967995194,2.920874707123505,0.0025235546366489127,0.7676070155866179,2
25.14,0.9,40,1600,64000,23.44444885710277,0.27207551795666624,1.6955511428972647,0.008678893314209691,2.9211016863225323,4.961255595948416e-4,0.583104546554138,1
51.87,2.1,40,1600,64000,50.322395309207934,0.4761112585285887,1.5476046907920713,0.02657677766080101,2.9211486254954897,0.0013126627543366487,0.5370959731945555,2
29.38,1.2,40,1600,64000,30.163935470129065,0.25727829475946423,-0.7839354701290318,0.007760535997015927,2.9213452094287455,9.465717213960358e-5,-0.2694727021673494,1
28.07,0.9,40,1600,64000,23.44444885710277,0.27207551795666624,4.625551142897264,0.008678893314209691,2.9191060368177424,0.00369229836678844,1.5907393374954715,1
30.33,1.2,40,1600,64000,30.163935470129065,0.25727829475946423,0.16606452987096748,0.007760535997015927,2.921408371125255,4.2476297743815845e-6,0.05708359846393291,1
51.24,2.2,40,1600,64000,52.56222418021672,0.511419713289262,-1.3222241802166916,0.030664815032274025,2.921218766047189,0.0011149021567814354,-0.45984430981245755,2
48.3,2.2,40,1600,64000,52.56222418021672,0.511419713289262,-4.2622241802166965,0.030664815032274025,2.9194096745540445,0.011585082813397174,-1.48232014339392,2
33.01,1.3,40,1600,64000,32.40376434113783,0.2653215572629751,0.6062356588622002,0.008253354432594536,2.9213717719426993,6.026236085633039e-5,0.20844132165648516,1
